"A_1(U_A_1), créé par Plot Digitizer, 2.6.9"
"Date: 6/12/21, 19:17:24"


30
U_A_1,A_1
0.210793,0.0100324,
1.16431,0.00824410,
1.84538,0.00655415,
2.11805,0.0151202,
2.40299,0.0193495,
2.70074,0.0394590,
3.18512,0.0927149,
3.39599,0.105635,
3.55756,0.127238,
3.63270,0.158981,
3.80638,0.170471,
4.06732,0.203590,
4.39057,0.251128,
4.57709,0.279942,
4.82722,0.372272,
5.07528,0.386623,
4.76258,0.269766,
4.77447,0.250989,
4.77447,0.250989,
5.00960,0.245128,
5.38043,0.219001,
5.62826,0.224688,
5.77656,0.213081,
5.76367,0.194313,
6.12265,0.188407,
6.32052,0.178227,
6.67704,0.0799016,
7.02314,0.0552275,
7.66614,0.0188935,
8.30979,0.00710853,
