"f_1(U_f_1), créé par Plot Digitizer, 2.6.9"
"Date: 6/12/21, 21:24:56"


24
U_f_1,f_1
3.83390,0.00712554,
3.96373,0.00707850,
4.18629,0.00699786,
4.29758,0.00840683,
4.49540,0.00543655,
4.67470,0.00682089,
4.86635,0.00675145,
5.03347,0.0371263,
5.08934,0.0704400,
5.17575,0.0486691,
5.41735,0.122496,
5.59055,0.136926,
5.62168,0.170249,
5.70217,0.189061,
5.80108,0.187576,
5.88126,0.158561,
6.02953,0.142565,
6.15301,0.116432,
6.29519,0.114931,
6.34435,0.0685360,
6.55444,0.0525175,
6.67178,0.0336341,
6.83854,0.00893548,
7.10435,0.00304196,
