"Y(Y), créé par Plot Digitizer, 2.6.9"
"Date: 21/12/21, 15:01:40"


134
Y,Y
1.00373,0.00228131,
1.00743,0.0129170,
1.01487,0.0250746,
1.03543,0.0326851,
1.06161,0.0402999,
1.07844,0.0463886,
1.09714,0.0524788,
1.12145,0.0600922,
1.14389,0.0661852,
1.16259,0.0715158,
1.18877,0.0791306,
1.20560,0.0844598,
1.22805,0.0897933,
1.25611,0.0958906,
1.27856,0.101984,
1.30288,0.106559,
1.32720,0.111894,
1.34777,0.117986,
1.37022,0.121800,
1.39267,0.127893,
1.42073,0.134750,
1.44318,0.139324,
1.46937,0.144660,
1.49556,0.149996,
1.51800,0.156849,
1.54420,0.161426,
1.56664,0.167519,
1.58722,0.172851,
1.60966,0.178944,
1.62836,0.184274,
1.65081,0.188848,
1.66952,0.193420,
1.68448,0.198747,
1.69756,0.203314,
1.71252,0.207883,
1.72748,0.212451,
1.74618,0.219301,
1.75926,0.224627,
1.77422,0.230714,
1.78355,0.236038,
1.79663,0.242124,
1.80784,0.248208,
1.81717,0.255810,
1.82650,0.263412,
1.83395,0.271013,
1.83392,0.278608,
1.82452,0.285436,
1.80015,0.291493,
1.78515,0.296039,
1.76454,0.298302,
1.74205,0.302082,
1.71021,0.303577,
1.68774,0.303560,
1.67088,0.305066,
1.64841,0.304290,
1.61283,0.304263,
1.58100,0.303479,
1.55104,0.302697,
1.51359,0.301909,
1.47052,0.300357,
1.43307,0.300329,
1.40124,0.298785,
1.36754,0.296481,
1.33759,0.294940,
1.30201,0.294153,
1.26830,0.294127,
1.23459,0.296380,
1.21958,0.300926,
1.22516,0.309285,
1.23076,0.314605,
1.24572,0.319174,
1.25879,0.326778,
1.27562,0.332867,
1.29432,0.338957,
1.31862,0.346571,
1.33545,0.353419,
1.34854,0.357226,
1.36535,0.365593,
1.38781,0.368649,
1.40837,0.377778,
1.42520,0.383107,
1.44390,0.389197,
1.46446,0.396048,
1.47756,0.399096,
1.50186,0.407469,
1.52430,0.414322,
1.54488,0.419654,
1.55984,0.424982,
1.58414,0.434114,
1.60097,0.438684,
1.61967,0.444014,
1.63837,0.450864,
1.65894,0.456196,
1.67951,0.462288,
1.70008,0.468379,
1.72440,0.474474,
1.74872,0.479809,
1.77116,0.485902,
1.79173,0.492753,
1.81230,0.500363,
1.83849,0.506459,
1.86092,0.514071,
1.88337,0.518645,
1.90019,0.526253,
1.92264,0.532346,
1.95816,0.543765,
1.99369,0.555184,
2.03483,0.568127,
2.08347,0.578797,
2.12833,0.597059,
2.18818,0.612294,
2.22745,0.625995,
2.27233,0.638181,
2.32096,0.651129,
2.36397,0.664833,
2.40323,0.678533,
2.45561,0.691484,
2.49673,0.707465,
2.53787,0.721167,
2.60895,0.737930,
2.67629,0.754690,
2.73423,0.779038,
2.80155,0.799595,
2.88571,0.823963,
2.91563,0.832340,
2.96987,0.847571,
3.02784,0.864324,
3.08956,0.882599,
3.13443,0.897822,
3.28590,0.945786,
3.49721,1.00898,
3.66177,1.06075,
3.83569,1.11177,
3.97782,1.15289,
